date,isin,bond_name,issuer,bond_type,credit_rating,issue_date,maturity_date,remaining_maturity,coupon_rate,interest_payment_cycle,close_price,ytm,volume,trading_value,payments_per_year,has_option,is_fixed_rate
2026-08-07,KR103502GD64,국고03250-3306(23-5),대한민국,국채,,2023-06-10,2033-06-10,2499.0,3.25,6개월,9495.0,4.192,100000,94950,2.0,False,True
2026-08-07,KR103502GD98,국고03625-5309(23-7),대한민국,국채,,2023-09-10,2053-09-10,9896.0,3.625,6개월,8710.0,4.553,143540000,124943091,2.0,False,True
2026-08-07,KR103502GDC6,국고04125-3312(23-11),대한민국,국채,,2023-12-10,2033-12-10,2682.0,4.125,6개월,10056.5,4.137,348540000,350813937,2.0,False,True
2026-08-07,KR103502GE30,국고03250-5403(24-2),대한민국,국채,,2024-03-10,2054-03-10,10077.0,3.25,6개월,8096.0,4.553,141290000,114287936,2.0,False,True
2026-08-07,KR103502GE63,국고03500-3406(24-5),대한민국,국채,,2024-06-10,2034-06-10,2864.0,3.5,6개월,9628.0,4.142,1020000,982052,2.0,False,True
2026-08-07,KR103502GE97,국고02750-5409(24-8),대한민국,국채,,2024-09-10,2054-09-10,10261.0,2.75,6개월,7288.0,4.538,20000,14576,2.0,False,True
2026-08-07,KR103502GF39,국고02625-5503(25-2),대한민국,국채,,2025-03-10,2055-03-10,10442.0,2.625,6개월,7058.0,4.539,666880000,470791130,2.0,False,True
2026-08-07,KR103502GF62,국고02625-3506(25-5),대한민국,국채,,2025-06-10,2035-06-10,3229.0,2.625,6개월,8874.5,4.219,100490000,89182754,2.0,False,True
2026-08-07,KR103502GG38,국고03000-2803(26-1),대한민국,국채,,2026-03-10,2028-03-10,581.0,3.0,6개월,10037.0,3.571,234000000000,234834700000,2.0,False,True
2026-08-07,KR103502GG61,물가01125-3606(26-4),대한민국,국채,,2026-06-10,2036-06-10,3595.0,1.125,6개월,9539.0,1.655,90000000000,85888100000,2.0,False,True
2026-08-07,KR103503G865,물가01750-2806(18-5),대한민국,국채,,2018-06-10,2028-06-10,673.0,1.75,6개월,10400.0,-0.265,50000,52000,2.0,False,True
2026-08-07,KR103503GB99,국고01875-4109(21-9),대한민국,국채,,2021-09-10,2041-09-10,5513.0,1.875,6개월,7280.0,4.436,72610000,52824228,2.0,False,True
2026-08-07,KR103503GE96,국고02875-2609(24-9),대한민국,국채,,2024-09-10,2026-09-10,34.0,2.875,6개월,10115.6,3.012,108980000,110239807,2.0,False,True
2026-08-07,KR103503GF95,국고02500-3009(25-8),대한민국,국채,,2025-09-10,2030-09-10,1495.0,2.5,6개월,9560.0,3.945,10000,9560,2.0,False,True
2026-08-07,KR103503GG37,국고03375-3103(26-3),대한민국,국채,,2026-03-10,2031-03-10,1676.0,3.375,6개월,9895.5,3.963,1122000000000,1110043100000,2.0,False,True
2026-08-07,KR103503GG60,국고04250-3606(26-6),대한민국,국채,,2026-06-10,2036-06-10,3595.0,4.25,6개월,10106.0,4.204,462000000000,466647900000,2.0,False,True
2026-08-07,KR103504GC97,국고03250-4209(22-11),대한민국,국채,,2022-09-10,2042-09-10,5878.0,3.25,6개월,8730.0,4.482,2560000,2234880,2.0,False,True
2026-08-07,KR103504GD96,국고03875-4309(23-9),대한민국,국채,,2023-09-10,2043-09-10,6243.0,3.875,6개월,9472.0,4.451,7010000,6599158,2.0,False,True
2026-08-07,KR103504GF94,국고02750-4509(25-9),대한민국,국채,,2025-09-10,2045-09-10,6974.0,2.75,6개월,7894.0,4.494,124000000000,97860800000,2.0,False,True
2026-08-07,KR103505GC96,국고03500-7209(22-12),대한민국,국채,,2022-09-10,2072-09-10,16836.0,3.5,6개월,8375.0,4.399,14000000000,11725000000,2.0,False,True
2026-08-07,KR2001024992,서울도시철도19-09,서울특별시,지방채,,2019-09-30,2026-09-30,54.0,1.25,12개월,10847.9,2.623,10000,10847,1.0,False,True
2026-08-07,KR20010249C5,서울도시철도19-12,서울특별시,지방채,,2019-12-31,2026-12-31,146.0,1.0,12개월,10560.0,3.551,19060000,20117830,1.0,False,True
2026-08-07,KR2001024E60,서울도시철도24-06,서울특별시,지방채,,2024-06-30,2031-06-30,1788.0,2.5,12개월,9690.0,4.129,3660000,3546540,1.0,False,True
2026-08-07,KR2001024F28,서울도시철도25-02,서울특별시,지방채,,2025-02-28,2032-02-29,2032.0,2.5,12개월,9310.0,4.371,28990000,27037530,1.0,False,True
2026-08-07,KR2001024FB5,서울도시철도25-11,서울특별시,지방채,,2025-11-30,2032-11-30,2307.0,2.0,12개월,7962.5,5.9,58700000,46739873,1.0,False,True
2026-08-07,KR2001024G76,서울도시철도26-07,서울특별시,지방채,,2026-07-31,2033-07-31,2550.0,2.0,12개월,8505.0,4.338,2961892000,2522306999,1.0,False,True
2026-08-07,KR2001024G84,서울도시철도26-08,서울특별시,지방채,,2026-08-31,2033-08-31,2581.0,2.0,,8471.0,4.343,1983400000,1683100323,,False,True
2026-08-07,KR2001034A21,서울도시철도20-02,서울특별시,지방채,,2020-02-29,2027-02-28,205.0,1.0,12개월,10522.8,3.167,10000000,10522800,1.0,False,True
2026-08-07,KR2002012CA8,강원지역개발22-10,강원도,지방채,,2022-10-31,2027-10-31,450.0,1.05,12개월,10103.0,3.453,300000000,303090000,1.0,False,True
2026-08-07,KR2002022G76,강원지역개발26-07,강원도,지방채,,2026-07-31,2031-07-31,1819.0,2.0,12개월,8977.0,4.24,1027090000,920461868,1.0,False,True
2026-08-07,KR2002022G84,강원지역개발26-08,강원도,지방채,,2026-08-31,2031-08-31,1850.0,2.0,,8937.0,4.258,858114000,767137516,,False,True
2026-08-07,KR2003022G74,대전지역개발26-07,대전광역시,지방채,,2026-07-31,2031-07-31,1819.0,2.0,12개월,8977.0,4.24,298721000,267798520,1.0,False,True
2026-08-07,KR2003022G82,대전지역개발26-08,대전광역시,지방채,,2026-08-31,2031-08-31,1850.0,2.0,,8937.0,4.258,404919000,362009002,,False,True
2026-08-07,KR2004022G72,인천지역개발26-07,인천광역시,지방채,,2026-07-31,2031-07-31,1819.0,2.0,12개월,8977.0,4.24,1257430000,1126901315,1.0,False,True
2026-08-07,KR2004022G80,인천지역개발26-08,인천광역시,지방채,,2026-08-31,2031-08-31,1850.0,2.0,,8937.0,4.258,967772000,865236466,,False,True
2026-08-07,KR2006014C71,부산도시철도22-07,부산광역시,지방채,,2022-07-31,2027-07-31,358.0,1.05,12개월,10190.0,3.461,60000000,61140000,1.0,False,True
2026-08-07,KR2006014G77,부산도시철도26-07,부산광역시,지방채,,2026-07-31,2031-07-31,1819.0,2.0,12개월,8993.0,4.202,1188315000,1068651514,1.0,False,True
2026-08-07,KR2006014G85,부산도시철도26-08,부산광역시,지방채,,2026-08-31,2031-08-31,1850.0,2.0,,8937.0,4.258,281836000,252288852,,False,True
2026-08-07,KR2006022G77,부산지역개발26-07,부산광역시,지방채,,2026-07-31,2031-07-31,1819.0,2.0,12개월,8977.0,4.24,329033000,294842190,1.0,False,True
2026-08-07,KR2006022G85,부산지역개발26-08,부산광역시,지방채,,2026-08-31,2031-08-31,1850.0,2.0,,8937.0,4.258,399726000,357304510,,False,True
2026-08-07,KR2007022G75,대구지역개발26-07,대구광역시,지방채,,2026-07-31,2031-07-31,1819.0,2.0,12개월,8977.0,4.24,274931000,246340488,1.0,False,True
2026-08-07,KR2007022G83,대구지역개발26-08,대구광역시,지방채,,2026-08-31,2031-08-31,1850.0,2.0,,8937.0,4.258,405555000,362417005,,False,True
2026-08-07,KR2007024G73,대구도시철도26-07,대구광역시,지방채,,2026-07-31,2031-07-31,1819.0,2.0,12개월,8976.0,4.242,815701000,733344023,1.0,False,True
2026-08-07,KR2007024G81,대구도시철도26-08,대구광역시,지방채,,2026-08-31,2031-08-31,1850.0,2.0,,8937.0,4.258,122871000,109992075,,False,True
2026-08-07,KR2008012G75,울산지역개발26-07,울산광역시,지방채,,2026-07-31,2031-07-31,1819.0,2.0,12개월,8977.0,4.24,497299000,445696623,1.0,False,True
2026-08-07,KR2008012G83,울산지역개발26-08,울산광역시,지방채,,2026-08-31,2031-08-31,1850.0,2.0,,8937.0,4.258,599141000,535588173,,False,True
2026-08-07,KR2022012D12,충남지역개발23-01,충청남도,지방채,,2023-01-31,2028-01-31,542.0,2.5,12개월,10621.1,4.332,610000,647887,1.0,False,True
2026-08-07,KR2022022G74,충남지역개발26-07,충청남도,지방채,,2026-07-31,2031-07-31,1819.0,2.0,12개월,8977.0,4.24,476866000,427355905,1.0,False,True
2026-08-07,KR2022022G82,충남지역개발26-08,충청남도,지방채,,2026-08-31,2031-08-31,1850.0,2.0,,8937.0,4.258,1419788000,1269360390,,False,True
2026-08-07,KR2033022G71,충북지역개발26-07,충청북도,지방채,,2026-07-31,2031-07-31,1819.0,2.0,12개월,8977.0,4.24,602572000,539885046,1.0,False,True
2026-08-07,KR2033022G89,충북지역개발26-08,충청북도,지방채,,2026-08-31,2031-08-31,1850.0,2.0,,8937.0,4.258,1357028000,1213074477,,False,True
2026-08-07,KR2044022C80,경기지역개발22-08,경기도,지방채,,2022-08-31,2027-08-31,389.0,1.05,12개월,10076.0,4.272,20060000,20212456,1.0,False,True
2026-08-07,KR2044022G78,경기지역개발26-07,경기도,지방채,,2026-07-31,2031-07-31,1819.0,2.0,12개월,8977.0,4.24,478321000,428502055,1.0,False,True
2026-08-07,KR2044022G86,경기지역개발26-08,경기도,지방채,,2026-08-31,2031-08-31,1850.0,2.0,,8937.0,4.258,3170027000,2833858365,,False,True
2026-08-07,KR2055012C96,전북지역개발22-09,전라북도,지방채,,2022-09-30,2027-09-30,419.0,1.05,12개월,9873.0,5.806,40000,39492,1.0,False,True
2026-08-07,KR2055022C37,전북지역개발22-03,전라북도,지방채,,2022-03-31,2027-03-31,236.0,1.05,12개월,10265.8,4.07,50530000,51873087,1.0,False,True
2026-08-07,KR2055022C45,전북지역개발22-04,전라북도,지방채,,2022-04-30,2027-04-30,266.0,1.05,12개월,10227.6,4.137,10960000,11209449,1.0,False,True
2026-08-07,KR2055022G74,전북지역개발26-07,전라북도,지방채,,2026-07-31,2031-07-31,1819.0,2.0,12개월,8977.0,4.24,651568000,583848179,1.0,False,True
2026-08-07,KR2055022G82,전북지역개발26-08,전라북도,지방채,,2026-08-31,2031-08-31,1850.0,2.0,,8937.0,4.258,730704000,653281360,,False,True
2026-08-07,KR2066022C59,전남지역개발22-05,전남광주통합특별시,지방채,,2022-05-31,2027-05-31,297.0,1.05,12개월,10257.2,3.34,500000,512860,1.0,False,True
2026-08-07,KR2077022G78,경북지역개발26-07,경상북도,지방채,,2026-07-31,2031-07-31,1819.0,2.0,12개월,8977.0,4.24,735345000,658651596,1.0,False,True
2026-08-07,KR2077022G86,경북지역개발26-08,경상북도,지방채,,2026-08-31,2031-08-31,1850.0,2.0,,8937.0,4.258,1611428000,1440379622,,False,True
2026-08-07,KR2088022G75,경남지역개발26-07,경상남도,지방채,,2026-07-31,2031-07-31,1819.0,2.0,12개월,8977.0,4.24,223263000,199961799,1.0,False,True
2026-08-07,KR2088022G83,경남지역개발26-08,경상남도,지방채,,2026-08-31,2031-08-31,1850.0,2.0,,8937.0,4.258,289029000,258424680,,False,True
2026-08-07,KR2099032G70,제주지역개발26-07,제주도,지방채,,2026-07-31,2031-07-31,1819.0,2.0,12개월,8977.0,4.24,183085000,164029593,1.0,False,True
2026-08-07,KR2099032G88,제주지역개발26-08,제주도,지방채,,2026-08-31,2031-08-31,1850.0,2.0,,8937.0,4.258,138811000,124118106,,False,True
2026-08-07,KR2100012G70,창원지역개발26-07,창원시청,지방채,,2026-07-31,2031-07-31,1819.0,2.0,12개월,8970.0,4.256,52820000,47379540,1.0,False,True
2026-08-07,KR2100012G88,창원지역개발26-08,창원시청,지방채,,2026-08-31,2031-08-31,1850.0,2.0,,8937.0,4.258,11728000,10484572,,False,True
2026-08-07,KR2101012G78,세종지역개발26-07,세종특별자치시,지방채,,2026-07-31,2031-07-31,1819.0,2.0,12개월,8977.0,4.24,160057000,143292845,1.0,False,True
2026-08-07,KR2101012G86,세종지역개발26-08,세종특별자치시,지방채,,2026-08-31,2031-08-31,1850.0,2.0,,8937.0,4.258,135180000,120867443,,False,True
2026-08-07,KR2106012G77,전남광주지역개발26-07,전남광주통합특별시,지방채,,2026-07-31,2031-07-31,1819.0,2.0,12개월,8977.0,4.24,691240000,619370182,1.0,False,True
2026-08-07,KR2106012G85,전남광주지역개발26-08,전남광주통합특별시,지방채,,2026-08-31,2031-08-31,1850.0,2.0,,8937.0,4.258,1601429000,1431598877,,False,True
2026-08-07,KR310502GC82,기업은행 조건부(상)2208이(신)영B-12(사),중소기업은행,금융채,AA0,2022-08-12,9999-12-31,,4.59,3개월,10053.0,4.615,11640000,11701692,4.0,True,True
2026-08-07,KR310506AFB6,기업은행(단)2511할304A-17,중소기업은행,금융채,AAA,2025-11-17,2026-09-17,41.0,2.78,12개월,9961.6,3.431,44250000,44074851,1.0,False,True
2026-08-07,KR350101GB92,한국전력1067,한국전력공사,특수채,AAA,2021-09-03,2026-09-03,27.0,1.938,6개월,10073.0,3.233,1100000,1108030,2.0,False,True
2026-08-07,KR350103G9B0,한국전력1004,한국전력공사,특수채,AAA,2019-11-14,2026-11-14,99.0,1.862,6개월,10018.9,2.752,20000,20036,2.0,False,True
2026-08-07,KR350103GA18,한국전력1016,한국전력공사,특수채,AAA,2020-01-10,2027-01-10,156.0,1.79,6개월,9958.0,3.115,20000,19916,2.0,False,True
2026-08-07,KR350103GBB9,한국전력1085(지),한국전력공사,특수채,AAA,2021-11-04,2026-11-04,89.0,2.528,6개월,10035.6,3.741,66050000,66288093,2.0,False,True
2026-08-07,KR350104GA25,한국전력1021,한국전력공사,특수채,AAA,2020-02-25,2027-02-25,202.0,1.515,6개월,9981.5,3.115,22320000,22241912,2.0,False,True
2026-08-07,KR350105GEA0,한국전력1428,한국전력공사,특수채,AAA,2024-10-15,2026-10-15,69.0,3.229,6개월,10110.0,2.699,60000,60660,2.0,False,True
2026-08-07,KR350107GB96,한국전력1073,한국전력공사,특수채,AAA,2021-09-23,2026-09-23,47.0,2.059,6개월,10055.7,3.679,19940000,20051065,2.0,False,True
2026-08-07,KR350201GAB3,서울교통공사2020-4,서울교통공사,지방채,AAA,2020-11-03,2027-11-03,453.0,1.61,3개월,9776.8,3.472,100760000,98185035,4.0,False,True
2026-08-07,KR354404GB98,주택금융공사MBS2021-20(1-4)(사),한국주택금융공사,유동화증권,AAA,2021-09-03,2026-09-03,27.0,1.876,3개월,10000.0,6.392,300000,300000,4.0,True,True
2026-08-07,KR356101DE40,토지주택채권(용지)24-04,한국토지주택공사,특수채,AAA,2024-04-30,2027-04-30,266.0,3.05,12개월,10610.0,4.306,250000,265250,1.0,False,True
2026-08-07,KR356101DFB5,토지주택채권(용지)25-11,한국토지주택공사,특수채,AAA,2025-11-30,2028-11-30,846.0,2.22,12개월,9710.0,4.19,1000000,971000,1.0,False,True
2026-08-07,KR356101DG89,토지주택채권(용지)26-08,한국토지주택공사,특수채,AAA,2026-08-31,2029-08-31,1120.0,2.66,,9400.0,4.69,3000000,2820000,,False,True
2026-08-07,KR3561027243,토지주택채권125,한국토지주택공사,특수채,AAA,2012-04-03,2032-04-03,2066.0,4.41,1개월,10000.0,4.419,100000,100000,12.0,False,True
2026-08-07,KR3561127225,토지주택채권112,한국토지주택공사,특수채,AAA,2012-02-22,2032-02-22,2025.0,4.35,1개월,9960.0,4.469,520000,517820,12.0,False,True
2026-08-07,KR356801G6A0,울산항만공사3,울산항만공사,특수채,AAA,2016-11-15,2026-11-15,100.0,2.27,6개월,10020.0,3.433,10000000,10020000,2.0,False,True
2026-08-07,KR380601GE34,수산금융채권(은행)24-03이영구(신종)-14,수협은행,금융채,A+,2024-03-14,9999-12-31,,4.9,3개월,9977.0,4.946,43410000,43299060,4.0,True,True
2026-08-07,KR380801AG36,한국수출입금융2603바-할인-184,한국수출입은행,금융채,AAA,2026-03-17,2026-09-17,41.0,2.75,12개월,9965.6,3.073,98270000,97931950,1.0,False,True
2026-08-07,KR380807GE85,한국수출입금융2408자-이표-2,한국수출입은행,금융채,AAA,2024-08-21,2026-08-21,14.0,3.2,3개월,10069.5,2.74,10000,10069,4.0,False,True
2026-08-07,KR381001G9A0,농금(은행)조건부(상)2019-10이10Y-갑(후),농협은행,금융채,AA0,2019-10-23,2029-10-23,1173.0,2.15,3개월,9600.0,3.501,20000,19200,4.0,False,True
2026-08-07,KR381001GD70,농업금융채권(은행)2023-07이-A(신종),농협은행,금융채,AA-,2023-07-04,9999-12-31,,5.3,3개월,10015.0,5.317,9880000,9894820,4.0,True,True
2026-08-07,KR381002GC47,농업금융채권(은행)2022-04이-A(신종),농협은행,금융채,AA-,2022-04-15,9999-12-31,,4.3,3개월,10000.0,4.311,20000,20000,4.0,True,True
2026-08-07,KR381003GD86,농업금융채권(은행)2023-08이3Y-C,,,,,,,,,10090.0,45.589,499100000,548867900,,,
2026-08-07,KR6000011D31,신한은행27-03-이-영구5갑(신),신한은행,금융채,AA-,2023-03-07,9999-12-31,,4.63,1개월,9990.0,4.634,2080000,2077920,12.0,True,True
2026-08-07,KR6000011E48,신한은행28-04-이-영구5갑(신),신한은행,금융채,AA-,2024-04-02,9999-12-31,,4.19,1개월,9957.0,4.21,20000,19914,12.0,True,True
2026-08-07,KR6000012C56,신한은행26-05-이-영구5갑(신),신한은행,금융채,AA-,2022-05-03,9999-12-31,,4.5,3개월,10000.0,4.502,10000,10000,4.0,True,True
2026-08-07,KR6000014CA7,신한은행26-10-이-영구5갑(신),신한은행,금융채,AA-,2022-10-17,9999-12-31,,5.7,1개월,10300.0,5.551,15000000,15450000,12.0,True,True
2026-08-07,KR6000014F44,신한은행29-04-이-1.5-A,신한은행,금융채,AAA,2025-04-23,2026-10-23,77.0,2.55,3개월,9985.0,3.769,20970000,20940393,4.0,False,True
2026-08-07,KR6000017F41,신한은행29-04-이-영구5갑(신),신한은행,금융채,AA-,2025-04-30,9999-12-31,,3.45,3개월,9350.0,3.692,20000,18700,4.0,True,True
2026-08-07,KR600001AFA9,신한은행29-10-할-12M-D,신한은행,금융채,AAA,2025-10-30,2026-10-30,84.0,2.59,12개월,9920.1,3.499,524870000,520686239,1.0,False,True
2026-08-07,KR6000153E38,두산310-2,두산,회사채,BBB+,2024-03-12,2027-03-12,217.0,4.801,3개월,10125.0,3.913,650000,658125,4.0,False,True
2026-08-07,KR6000153F11,두산312-2,두산,회사채,BBB+,2025-01-22,2028-01-21,532.0,4.178,3개월,10055.0,3.915,150000,150825,4.0,False,True
2026-08-07,KR6000371C36,한화손해보험12(후),한화손해보험,금융채,AA-,2022-03-07,2032-03-07,2039.0,4.9,3개월,10050.0,4.963,40000000,40200500,4.0,True,True
2026-08-07,KR6000371C93,한화손해보험신종자본증권 14,한화손해보험,금융채,A+,2022-09-29,2052-09-29,9550.0,6.5,3개월,10120.0,6.458,110180000,111369159,4.0,True,True
2026-08-07,KR6000371E83,한화손해보험15(후),한화손해보험,금융채,AA-,2024-08-29,2034-08-29,2944.0,4.78,3개월,9891.0,5.083,100000,98910,4.0,True,True
